"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"50","ARIAS,AVA DELMORE,KAYLA PEPER,ANYA PROUTY,ANNA TIMKO,NICOLE",4,4,5,163,0,5,0,3,4,3,6,"brandeis","22","3","23 11 14 24 21","74-67","HOME",66.2576687116564,100,0,100,0,52.5210084033613,50
"51","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE",4,7,7,196,8,12,2,6,2,3,6,"bridgewater st., chicago, wis.-eau claire","5, -4, 17","3, 1, 4","33 23 22 4 5","69-58, 54-62, 71-48","HOME, AWAY, HOME",85.7142857142857,171.428571428571,114.285714285714,57.1428571428571,0.333333333333333,87.2093023255814,50
"52","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA TIMKO,NICOLE",4,1,1,34,0,2,0,0,2,1,2,"rochester2","9","2","24 23 4 33 5","59-46","HOME",70.5882352941177,200,0,200,NA,113.636363636364,50
"53","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",4,7,9,350,11,3,4,6,2,1,8,"brandeis2, emory, washu2","-4, -4, -10","1, 2, 1","5 23 4 22 24","62-51, 67-77, 76-70","AWAY, AWAY, HOME",54.8571428571429,33.3333333333333,157.142857142857,-123.809523809524,0.666666666666667,21.8023255813953,12.5
"54","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,43,47,1569,38,51,17,39,5,19,44,"baldwin wallace, brandeis, brandeis2, bridgewater st., bridgewater st., case western reserve, case western reserve, case western reserve2, emory2, johns hopkins, johns hopkins, la roche, nyu, nyu2, nyu2, washu, wis.-eau claire, wis.-eau claire","6, 7, -6, 0, 1, -9, -5, 0, -6, -6, -9, 11, -19, -13, -18, 22, 13, 9","2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3","33 23 22 4 24","51-70, 74-67, 62-51, 69-58, 69-58, 69-63, 69-63, 70-46, 78-66, 58-68, 58-68, 72-47, 62-91, 52-83, 52-83, 86-67, 71-48, 71-48","AWAY, HOME, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME",68.8336520076482,108.510638297872,88.3720930232558,20.1385452746165,0.435897435897436,61.8932038834951,43.1818181818182
"55","ARIAS,AVA GIBBS,SAVANNAH OR,CATHERINE PEPER,ANYA TIMKO,NICOLE",4,4,2,180,8,4,2,5,0,4,5,"nyu, wooster","-11, 7","1, 2","14 4 22 24 23","62-91, 69-43","HOME, AWAY",40,200,200,0,0.4,40,80
"56","ARIAS,AVA HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE",4,2,3,82,3,0,2,3,0,1,4,"case western reserve2","14","2","5 22 33 43 23","70-46","HOME",73.1707317073171,0,150,-150,0.666666666666667,0,25
"57","ARIAS,AVA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",5,5,5,164,4,3,3,5,2,3,5,"bridgewater st., emory2, washington & jefferson","3, -5, 9","3, 3, 3","33 23 22 24 5","69-58, 78-66, 80-77","HOME, HOME, HOME",73.1707317073171,60,80,-20,0.6,25.5102040816327,60
"58","ARIAS,AVA KATZ,JUSTINE OR,CATHERINE PEPER,ANYA PROUTY,ANNA",4,3,3,76,7,3,1,1,0,2,3,"brandeis","14","4","22 11 14 2 23","74-67","HOME",94.7368421052632,100,233.333333333333,-133.333333333333,1,150,66.6666666666667
"59","ARIAS,AVA LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,0,1,18,0,0,0,0,0,0,0,"oberlin","19","2","23 43 22 33 24","81-43","HOME",66.6666666666667,0,NA,NA,NA,NA,NA
